,shower,em_scintillator_array,origin,muon_detector_array
0,1,778,1,2
1,2,467,1,1
2,3,657,1,0
3,4,483,1,1
4,5,920,1,3
5,6,940,1,6
6,7,1844,1,13
7,8,2745,1,22
8,9,374,1,1
9,10,334,1,2
10,11,988,1,2
11,12,400,1,3
12,13,462,1,0
13,14,542,1,0
14,15,427,1,1
15,16,676,1,0
16,17,419,1,4
17,18,1164,1,6
18,19,1136,1,1
19,20,1111,1,6
20,21,364,1,2
21,22,716,1,3
22,23,1180,1,5
23,24,534,1,0
24,25,340,1,1
25,26,317,1,0
26,27,720,1,2
27,28,363,1,1
28,29,364,1,0
29,30,254,1,29
30,31,455,1,2
31,32,540,1,2
32,33,361,1,1
33,34,2689,1,9
34,35,425,1,0
35,36,723,1,2
36,37,572,1,3
37,38,593,1,1
38,39,1632,1,7
39,40,358,1,1
40,41,548,1,2
41,42,852,1,2
42,43,438,1,2
43,44,412,1,2
44,45,533,1,39
45,46,456,1,2
46,47,1023,1,0
47,48,489,1,2
48,49,1259,1,4
49,50,480,1,3
50,51,803,1,1
51,52,318,1,0
52,53,689,1,2
53,54,333,1,0
54,55,538,1,1
55,56,595,1,1
56,57,481,1,1
57,58,696,1,0
58,59,713,1,26
59,60,705,1,1
60,61,362,1,0
61,62,1444,1,6
62,63,439,1,0
63,64,596,1,2
64,65,532,1,0
65,66,489,1,3
66,67,2882,1,7
67,68,446,1,0
68,69,428,1,1
69,70,445,1,2
70,71,3046,1,12
71,72,1529,1,6
72,73,532,1,0
73,74,540,1,1
74,75,694,1,1
75,76,460,1,1
76,77,880,1,1
77,78,360,1,1
78,79,899,1,10
79,80,329,1,1
80,81,1146,1,0
81,82,303,1,29
82,83,524,1,2
83,84,406,1,0
84,85,423,1,4
85,86,624,1,1
86,87,515,1,2
87,88,1033,1,3
88,89,654,1,3
89,90,542,1,0
90,91,336,1,1
91,92,563,1,1
92,93,685,1,1
93,94,541,1,1
94,95,2553,1,15
95,96,714,1,1
96,97,428,1,0
97,98,385,1,3
98,99,397,1,1
99,100,763,1,0
100,101,396,1,1
101,102,380,1,2
102,103,1286,1,5
103,104,522,1,7
104,105,438,1,0
105,106,662,1,2
106,107,390,1,1
107,108,332,1,1
108,109,545,1,2
109,110,677,1,1
110,111,1365,1,6
111,112,497,1,0
112,113,466,1,1
113,114,565,1,0
114,115,2212,1,4
115,116,440,1,1
116,117,453,1,0
117,118,439,1,0
118,119,426,1,1
119,120,532,1,4
120,121,522,1,1
121,122,348,1,0
122,123,1189,1,1
123,124,373,1,3
124,125,825,1,3
125,126,405,1,32
126,127,460,1,1
127,128,359,1,1
128,129,676,1,2
129,130,1200,1,4
130,131,345,1,0
131,132,516,1,1
132,133,557,1,0
133,134,580,1,1
134,135,634,1,3
135,136,457,1,0
136,137,463,1,5
137,138,800,1,1
138,139,518,1,0
139,140,1230,1,5
140,141,598,1,3
141,142,517,1,2
142,143,630,1,1
143,144,488,1,1
144,145,1039,1,1
145,146,487,1,0
146,147,482,1,0
147,148,446,1,1
148,149,1771,1,9
149,150,443,1,1
