,shower,em_scintillator_array,origin,muon_detector_array
0,1,1147,14,51
1,2,801,14,62
2,3,1027,14,53
3,4,742,14,34
4,5,1234,14,43
5,6,1474,14,72
6,7,2060,14,51
7,8,3007,14,88
8,9,618,14,62
9,10,565,14,74
10,11,1353,14,76
11,12,1073,14,103
12,13,688,14,60
13,14,857,14,58
14,15,756,14,55
15,16,889,14,44
16,17,741,14,75
17,18,1509,14,55
18,19,1653,14,112
19,20,2505,14,165
20,21,650,14,56
21,22,1328,14,44
22,23,1441,14,81
23,24,830,14,61
24,25,616,14,45
25,26,586,14,36
26,27,1008,14,57
27,28,684,14,56
28,29,637,14,37
29,30,450,14,74
30,31,655,14,41
31,32,946,14,140
32,33,616,14,40
33,34,3186,14,113
34,35,879,14,71
35,36,1040,14,46
36,37,779,14,59
37,38,1017,14,36
38,39,2184,14,76
39,40,542,14,50
40,41,966,14,47
41,42,1084,14,40
42,43,1314,14,225
43,44,1095,14,65
44,45,987,14,137
45,46,915,14,68
46,47,1358,14,50
47,48,817,14,55
48,49,1704,14,65
49,50,881,14,78
50,51,1225,14,53
51,52,585,14,46
52,53,759,14,35
53,54,525,14,71
54,55,884,14,48
55,56,1190,14,61
56,57,612,14,45
57,58,1191,14,84
58,59,998,14,82
59,60,1095,14,82
60,61,1125,14,73
61,62,1865,14,51
62,63,604,14,40
63,64,1004,14,80
64,65,1288,14,98
65,66,924,14,130
66,67,3269,14,75
67,68,702,14,53
68,69,704,14,49
69,70,626,14,42
70,71,3398,14,59
71,72,2617,14,36
72,73,1450,14,156
73,74,841,14,55
74,75,1182,14,43
75,76,694,14,45
76,77,1074,14,62
77,78,1406,14,189
78,79,1263,14,69
79,80,553,14,29
80,81,1305,14,51
81,82,552,14,93
82,83,919,14,51
83,84,623,14,60
84,85,628,14,63
85,86,624,14,5
86,87,713,14,35
87,88,1339,14,47
88,89,988,14,70
89,90,873,14,60
90,91,570,14,50
91,92,977,14,77
92,93,892,14,27
93,94,899,14,73
94,95,3377,14,95
95,96,2737,14,135
96,97,744,14,87
97,98,661,14,58
98,99,493,14,19
99,100,1256,14,72
100,101,627,14,43
101,102,687,14,35
102,103,3022,14,230
103,104,1151,14,94
104,105,1103,14,95
105,106,837,14,53
106,107,829,14,77
107,108,586,14,46
108,109,1222,14,102
109,110,896,14,39
110,111,1960,14,128
111,112,1039,14,89
112,113,1348,14,179
113,114,775,14,68
114,115,3599,14,107
115,116,1496,14,199
116,117,587,14,43
117,118,1013,14,71
118,119,668,14,60
119,120,698,14,36
120,121,812,14,51
121,122,604,14,60
122,123,1478,14,36
123,124,640,14,49
124,125,2382,14,298
125,126,694,14,92
126,127,678,14,43
127,128,2371,14,266
128,129,934,14,40
129,130,1658,14,77
130,131,637,14,39
131,132,1120,14,132
132,133,3284,14,110
133,134,753,14,16
134,135,955,14,42
135,136,774,14,65
136,137,912,14,66
137,138,1127,14,40
138,139,829,14,69
139,140,1545,14,53
140,141,895,14,115
141,142,1005,14,44
142,143,2250,14,156
143,144,730,14,37
144,145,1312,14,92
145,146,897,14,57
146,147,811,14,69
147,148,1035,14,74
148,149,2441,14,73
149,150,643,14,51
