,shower,dt,dxy,E,em_scintillator_array,origin,muon_detector_array
0,1,12033,5842,2103,1147,14,51
1,2,21186,10244,1393,801,14,62
2,3,35830,8687,1039,1027,14,53
3,4,2196,7511,18392,742,14,34
4,5,2521,7870,748,1234,14,43
5,6,3876,7549,2317,1474,14,72
6,7,2118,7549,847,2060,14,51
7,8,2058,6892,1712,3007,14,88
8,9,23237,7608,1059,618,14,62
9,10,20123,9878,2118,565,14,74
10,11,5652,7475,1347,1353,14,76
11,12,16615,10086,1299,1073,14,103
12,13,9904,9212,1173,688,14,60
13,14,7196,9107,693,857,14,58
14,15,12892,9195,1192,756,14,55
15,16,30225,7967,1146,889,14,44
16,17,12639,10284,5609,741,14,75
17,18,9315,8258,924,1509,14,55
18,19,5253,5356,18248,1653,14,112
19,20,2395,7735,4059,2505,14,165
20,21,2126,9537,996,650,14,56
21,22,29726,7805,6515,1328,14,44
22,23,6016,9203,1663,1441,14,81
23,24,3177,8795,938,830,14,61
24,25,16649,9037,829,616,14,45
25,26,75,12628,3031,586,14,36
26,27,7524,7578,1030,1008,14,57
27,28,4662,11830,3216,684,14,56
28,29,5771,13499,3317,637,14,37
29,30,11420,12814,1750,450,14,74
30,31,3593,8220,649,655,14,41
31,32,693,11340,3492,946,14,140
32,33,294,11160,658,616,14,40
33,34,2013,7206,2846,3186,14,113
34,35,2067,11680,9040,879,14,71
35,36,18389,7328,968,1040,14,46
36,37,8257,9691,1400,779,14,59
37,38,1295,7823,1284,1017,14,36
38,39,4406,6305,1035,2184,14,76
39,40,5484,10909,2166,542,14,50
40,41,7817,10216,889,966,14,47
41,42,2583,7503,608,1084,14,40
42,43,611,13930,6619,1314,14,225
43,44,6029,8599,1374,1095,14,65
44,45,30128,12226,3597,987,14,137
45,46,889,10841,1262,915,14,68
46,47,3696,6252,846,1358,14,50
47,48,19997,7590,720,817,14,55
48,49,2842,8484,1432,1704,14,65
49,50,1432,10004,5447,881,14,78
50,51,1215,6709,518,1225,14,53
51,52,15567,11074,2161,585,14,46
52,53,9163,6499,1033,759,14,35
53,54,81047,9648,1080,525,14,71
54,55,7717,7516,641,884,14,48
55,56,36586,8705,1373,1190,14,61
56,57,5075,10655,1799,612,14,45
57,58,8154,8831,1529,1191,14,84
58,59,14021,9830,1738,998,14,82
59,60,10972,9573,3451,1095,14,82
60,61,7538,8691,3032,1125,14,73
61,62,26544,6360,5192,1865,14,51
62,63,21244,8332,699,604,14,40
63,64,5358,9920,1720,1004,14,80
64,65,23861,10063,2190,1288,14,98
65,66,15889,9269,4432,924,14,130
66,67,8243,6626,1826,3269,14,75
67,68,14859,8188,693,702,14,53
68,69,5493,9387,832,704,14,49
69,70,545,10634,1222,626,14,42
70,71,6020,4834,1311,3398,14,59
71,72,17050,6381,3708,2617,14,36
72,73,14326,7240,6975,1450,14,156
73,74,1837,8391,2485,841,14,55
74,75,15374,9751,717,1182,14,43
75,76,5339,6054,1010,694,14,45
76,77,26784,6245,2383,1074,14,62
77,78,7783,6932,4271,1406,14,189
78,79,1518,9280,1824,1263,14,69
79,80,892,11342,478,553,14,29
80,81,2415,7896,1192,1305,14,51
81,82,9059,8818,3317,552,14,93
82,83,11082,8523,527,919,14,51
83,84,8864,10238,609,623,14,60
84,85,20339,11368,3053,628,14,63
85,86,5824,6980,18501,624,14,5
86,87,5734,8125,431,713,14,35
87,88,10046,7482,424,1339,14,47
88,89,17238,9126,1222,988,14,70
89,90,8663,10010,1573,873,14,60
90,91,39470,14004,585,570,14,50
91,92,95,7390,3238,977,14,77
92,93,4380,8761,1218,892,14,27
93,94,10121,8195,1560,899,14,73
94,95,12050,6469,2386,3377,14,95
95,96,34849,8332,6442,2737,14,135
96,97,32822,9554,2098,744,14,87
97,98,2722,9840,3175,661,14,58
98,99,51487,9387,614,493,14,19
99,100,2795,8610,831,1256,14,72
100,101,22496,8985,1157,627,14,43
101,102,964,8252,384,687,14,35
102,103,3569,8478,3782,3022,14,230
103,104,22891,8652,1851,1151,14,94
104,105,1483,9892,1601,1103,14,95
105,106,11589,9006,1419,837,14,53
106,107,16513,7598,3505,829,14,77
107,108,20578,8525,1227,586,14,46
108,109,2714,7704,2645,1222,14,102
109,110,8707,9033,2536,896,14,39
110,111,17196,7738,4331,1960,14,128
111,112,7705,9671,1216,1039,14,89
112,113,179,7390,3790,1348,14,179
113,114,5398,9239,3833,775,14,68
114,115,17840,7403,2454,3599,14,107
115,116,23277,10586,6456,1496,14,199
116,117,1771,10954,1236,587,14,43
117,118,30146,7822,988,1013,14,71
118,119,2200,7216,2428,668,14,60
119,120,9707,7427,877,698,14,36
120,121,19922,7970,3028,812,14,51
121,122,40,10798,1167,604,14,60
122,123,11615,7780,6275,1478,14,36
123,124,7894,6699,1221,640,14,49
124,125,9888,8212,7032,2382,14,298
125,126,23129,9378,2113,694,14,92
126,127,1382,10638,573,678,14,43
127,128,11636,8194,52841,2371,14,266
128,129,17114,7786,312,934,14,40
129,130,16032,8055,1453,1658,14,77
130,131,12831,10563,825,637,14,39
131,132,15432,10206,4956,1120,14,132
132,133,3510,6961,2906,3284,14,110
133,134,14793,6682,252,753,14,16
134,135,10547,9157,2705,955,14,42
135,136,2201,11119,1554,774,14,65
136,137,32153,9703,3252,912,14,66
137,138,3294,8904,1722,1127,14,40
138,139,14341,9353,1147,829,14,69
139,140,32110,8544,1503,1545,14,53
140,141,25802,11671,2562,895,14,115
141,142,30740,8727,1798,1005,14,44
142,143,3960,8955,4989,2250,14,156
143,144,11754,8104,749,730,14,37
144,145,6076,9153,1667,1312,14,92
145,146,13971,10396,1236,897,14,57
146,147,13192,9566,1909,811,14,69
147,148,604,10472,4128,1035,14,74
148,149,36519,7901,1882,2441,14,73
149,150,2080,10967,2256,643,14,51
150,151,19633,8777,1203,1260,14,43
151,152,26170,9016,2293,1172,14,136
152,153,13516,8047,1227,844,14,40
153,154,20107,6074,706,1290,14,23
154,155,9156,10015,6039,1198,14,47
155,156,10465,7848,808,856,14,28
156,157,5514,9516,1552,1007,14,96
157,158,19775,10733,5090,1554,14,169
158,159,9369,8892,605,930,14,28
159,160,34674,6913,3319,781,14,43
160,161,20659,7521,1545,836,14,57
161,162,7070,7593,3317,705,14,41
162,163,23052,7986,552,786,14,66
163,164,6406,10201,1053,947,14,87
164,165,4927,10031,1746,990,14,56
165,166,878,12362,6818,2331,14,252
166,167,2222,7823,417,697,14,25
167,168,2049,9787,1771,673,14,75
168,169,9922,8175,548,776,14,35
